					Product Report
					----------------

Number of products : 50
Reporter : Yeahn Kim


Contents
Name			Price		Sale Number	Sales		 Prime Cost	Labor Cost	Profit
-----------------------------------------------------------------------------------------------------------------
1. Phone		500000		19		9500000		20000		100000		7220000
2. Watch		55000		180		9900000		1000		500		9630000
3. Mouse		17000		500		8500000		3000		500		6750000
4. Pencil		300		100		30000		50		200		5000
5. Eraser		800		133		106400		150		200		59850
6. Keyboard		30000		183		5490000		5000		2000		4209000
7. Tablet		450000		17		7650000		30000		100000		5440000
8. Laptop		1400000		7		9800000		100000		200000		7700000
9. Clock		35000		130		4550000		2500		1000		4095000
10. Books		18000		43		774000		3000		1500		580500
11. Tumbler		8000		60		480000		1500		500		360000
12. Paper Clip		3000		300		900000		800		500		510000
13. Stickynotes		1500		254		381000		100		400		254000
14. Cable Ties		10000		150		1500000		2000		1000		1050000
15. USB Drives		20000		204		4080000		3000		1000		3264000
16. Tapes		2400		482		1156800		300		200		915800
17. Speaker		43000		84		3612000		3000		1500		3234000
18. File Holder		30000		259		7770000		5000		1200		6164200
19. Desk Lamp		23000		37		851000		2000		1000		740000
20. Highlighter		2300		523		1202900		200		150		1019850
21. Scissors		7000		487		3409000		500		200		3068100
22. Stapler		6000		94		564000		500		800		441800
23. Paper Towel		5000		638		3190000		1000		800		2041600
24. Trash Bags		80		1524		121920		30		30		30480
25. Chair		58000		136		7888000		7000		1500		6732000
26. Desks		100000		84		8400000		10000		3000		7308000
27. Sofas		420000		18		7560000		15000		4000		7218000
28. Light Bulbs		2500		294		735000		1300		800		117600
29. Ovens		73000		123		8979000		24000		5000		5412000
30. Printer		84000		63		5292000		20000		3500		3811500
31. Coffeepot		34000		53		1802000		8000		3500		1192500
32. Knife		15000		313		4695000		3000		4000		2504000
33. Can Opener		2500		467		1167500		700		600		560400
34. Whiteboards		8500		524		4454000		1300		400		3563200
35. Dishes		6000		482		2892000		800		3000		1060400
36. Sausepan		32000		120		3840000		12000		2000		2160000
37. Frying Pan		23000		163		3749000		5000		1500		2689500
38. White Milk		3700		627		2319900		700		500		1567500
39. One Egg		150		840		126000		20		50		67200
40. Water		800		930		744000		100		100		558000
41. Cereal		4800		130		624000		1500		1300		260000
42. Trump Cards		3500		73		255500		500		250		200750
43. Board Games		13000		53		689000		3000		4000		318000
44. Beverage		2800		240		672000		300		300		528000
45. Pencil Case		4200		50		210000		700		400		155000
46. Wet Wipes		2100		140		294000		850		300		133000
47. Tissue		1500		423		634500		400		400		296100
48. Notebook		1500		230		345000		300		500		161000
49. Backpack		36000		80		2880000		7000		2000		2160000
50. Mirror		6000		130		780000		800		400		624000
